word1,word2,word3,word4
Nielsen,Jensen,Olsen,kassen
mega,kæmpe,enorm,smule
kufferter,tasker,bæreposer,styrelser
landstræner,håndboldekspert,mål,rum
trup,gruppe,hold,sti
grafik,figur,plot,lån
januar,maj,juni,ur
angiveligt,muligvis,sandsynligvis,nutidigt
oplysninger,data,informationer,fjerner
fire minutter,tre timer,en uge,to piger
instrumentbrættet,motorer,cockpit,sagen
anmeldelse,politi,forbrydelse,kaffe
instrueret,organiseret,ledet,skuffet
billede,foto,tegning,skål
kapitel,paragraf,sektion,park
virksomhed,firma,selskab,sovs
tres,60,LX,3
1864,1807,1940,1909
diplom,udmærkelse,pris,øremærke
bange,urolig,nervøs,ordentlig
norsk,engelsk,spansk,falsk
mus,tastatur,skærm,bræt
dør,kradser af,udånder,åbner
og,samt,endvidere,sin
hans,sit,vores,vises
stod og råbte,lå og sov,sad og så,mand og kvinde
frokost,morgenmad,brunch,måne
mænd,personer,individer,gange
kidnappe,røve,stjæle,køre
råbte,skreg,larmede,vuggede
kontorist,embedsmand,bureaukrat,spisebord
vegetation,krat,bed,skur
cyklist,bilist,chauffør,ekspedient
bibliotek,bog,låner,flag
halvsyg,forkølelse,hoster,vej
musik,node,rytme,leder
rapport,sagsakt,artikel,spand
tekande,vinflaske,slikskål,racerbil
forhører,spørger,anmoder,banker
fremtidige,fortidige,nutidige,havdige
kanal,flod,bæk,spejl
kanal,program,udsendelse,vask
grøntsag,frugt,salat,tærte
politi,skyderi,dræbt,tyngdekraft
20,28,35,100
blod,organ,hjerte,lugtesans
blomst,bi,honning,hveps
gå,løbe,kravle,køre
vind,blæst,luft,angreb
skæg,hår,barber,baby
snedker,tømrer,maler,programmør
barn,mor,far,president
bluse,bukser,sko,øjenbryn
papir,blyant,penalhus,tæppe
ringbind,blyant,papir,raket
sjov,humor,grine,trist
trompet,saxofon,tuba,kort
haj,fisk,vand,kanin
ild,varme,brand,blå
klog,intelligent,smart,dum
time,sekund,minut,meter
fem,5,V,100
blå,rød,gul,tis
sverige,island,australien,flaske
beskidt,strygejern,plet,pluto
restaurant,butik,frisør,bog
vodka,whisky,tequila,barber
stue,køkken,badeværelse,fodgængerfelt
propel,vinge,landingstel,bil
pejs,jul,julemand,frikadelle
kat,hund,hamster,græs
himmel,blå,skyer,løg
lyn,torden,regn,elektricitet
lars,bob,rikke,hest
fyrvækeri,farver,eksplosion,spilletid
radio,musik,radiobølger,taske
dyne,pude,seng,gulv
burger,pizza,durum,højhus
højhus,rækkehus,lejlighed,sø
glad,sur,trist,rækkehus
risiko,chance,trussel,baggrund
pizza,burger,sushi,undergrund
slik,kage,chips,ørepropper
ipad,iphone,ipod,slik
nær,tæt på,klos,væk
avis,blad,magasin,øjenvippe
kærlighed,omsorg,sød,ond
mette,pia,dorte,henning
peter,preben,torben,maria
serviet,køkkenrulle,toiletpapir,kat
guld,sølv,bronze,mudder
cykel,hjelm,pedaler,asfalt
benzin,diesel,olie,smør
skærm,mus,tastatur,karton
mascare,øjenskygge,puder,mus
bukser,skjorte,jakke,fødder
handsker,hue,halsterklæde,næse
vand,glas,kande,giraf
rør,radiator,termostat,flaske
gin,tonic,lime,æble
rose,tulipan,magnolie,picnic
budget,lån,penge,Yacht
lykke,glæde,glad,løg
påske,jul,ferie,arbejde
ikea,jysk,ilva,parkering
pige,dreng,køn,sko
kuffert,taske,pose,orm
treds,ti,tyve,200
nøgle,adgang,lås,pude
film,skuespiller,plot,slot
hat,hoved,tøj,bord
data,information,oplysninger,fjer
firma,selskab,virksomhed,jakkesæt
urolig,bange,nervøs,jeg
norsk,engelsk,spansk,ost
og,eller,samt,dato
hans,huns,sit,værelse
vand,gennemsigtig,vådt,musik
stod,sad,lå,mand
depression,angst,OCD,note
seddel,skrift,brev,bjerg
rød,grøn,blå,dumhed
kys,kærlighed,hjerte,alene
sang,dans,musik,æg
armbånd,halskæde,ørering,overskæg
sagde,fortalte,udtrykte,tempel
adjektiver,adverbier,substantiver,apotek
terninger,spil,brætspil,viskelædder
karamel,bolsje,chokolade,tivoli
facebook,twitter,youtube,gab
blæser,udluftning,luftkvalitet,gnaver
støv,rengøring,allergi,knap
kia,opel,ford,gardin
cheesecake,dessert,ost,klokken
stol,bord,møbel,magi
netflix,viaplay,tv2play,undervisning
anders and,fedtmule,pluto,manga
sæbe,sulfo,vaskemiddel,skab
word,powerpoint,excel,styresystem
brev,pakke,postkasse,telefon
ung,gammel,alder,død
hav,sø,fjord,skib
pizza,burger,hotdog,salat
sværd,sabel,kniv,blomst
rose,lilje,tulipan,kaktus
sko,trøje,bukser,paraply
Kim Larsen,Thomas Helmig,Rasmus seebach,Michael Jackson
tiger,løve,leopard,giraf
øl,whiskey,gin,vand
fodbold,håndbold,basketbold,fjerbold
vand,juice,mælk,kaffe
maleri,skulptur,udstilling,sport
guitar,klaver,tromme,musik
lege,spille,pjatte,seriøs
bukser,bluse,trøje,vinger
lugte,høre,se,pingvin
sommer,vinter,efterår,rejse
finger,hånd,fod,menneske
tyv,røver,forbryder,advokat
løg,kød,æg,piskeris
ske,gaffel,kniv,kop
Aalborg,Randers,Esbjerg,København
halskæde,ring,armbånd,hat
telefon,tablet,computer,avis
blomst,træ,busk,bi
bil,bus,motorcykel,løbehjul
muskler,sener,fedt,plastik
badeforhæng,bruser,toilet,tv
blå,rød,gul,glad
glad,trist,vred,folketing
hund,kat,får,skole
København,Rom,Paris,Barcelona
blyant,kuglepen,tus,saks
jordskælv,oversvømmelse,orkan,sol
ski,skøjter,snowboard,svømning
Danmark,Tyskland,Frankrig,Europa
kage,slik,is,bønne
ninja,samurai,ridder,ekspedient
tyk,fed,overvægtig,tynd
ok,okay,forstået,nej
briller,teleskop,kikkert,falk
færge,skib,båd,hav
salat,frugt,fuldkorn,chips
blomst,blad,stilk,sværd
regnjakke,paraply,regnslag,solcreme
giraf,elefant,blåhval,mus
vand,juice,kaffe,øl
fodbold,håndbold,basketbold,svømning
svømning,roning,surfing,cykling
mand,kvinde,barn,hund
karry,paprika,peber,morgenmad
pingvin,isbjørn,sæl,abe
sommer,strand,varme,jakke
musik,larm,skrig,stilhed
dommer,advokat,anklager,taxa
frikadeller,flæskesteg,medister,salat
København,Roskilde,Vordingborg,Randers
bukser,trøje,sok,halskæde
løbehjul,rulleskøjter,cykel,bil
skole,universitet,gymnasie,bog
mandag,onsdag,torsdag,juli
juli,december,marts,lørdag
hej,hje,jeh,magi
luft,gas,damp,jern
bog,blad,avis,ost
soduku,krydsord,gåde,skole
Danmark,Tyskland,Frankrig,London
toiletpapir,køkkenrulle,serviet,bog
vals,tango,boogie,sove
pige,dame,kvinde,mand
bønne,salat,gulerod,slik
ukendt,uformel,uhyggelig,glad
maske,hætte,hat,sok
strikke,hækle,sy,løve
hamre,skrue,save,danse
fisk,fugl,hest,kande
regn,slud,hagl,sol
gå,løbe,kravle,vin
lys,sol,lampe,kok
råbe,skrige,larme,genert
stille,rolig,genert,opråb
skak,kabale,ludo,banan
lineal,tommestok,målebånd,passer
flyvemaskine,helikopter,luftballon,skib
facebook,twitter,instagram,brev
halstørklæde,vanter,hue,sandaler
sommerfugl,mariehøne,græshoppe,papegøje
kartoffel,gulerod,pastinak,bær
tern,striber,prikker,stof
jern,kobber,zink,stearin
lunge,tarm,lever,smil
solsort,spurv,måge,pingvin
politibil,brandbil,ambulance,motorcykel
mars,venus,saturn,måne
taske,pose,kurv,raket
kul,olie,gas,isbjørn
uldsokker,hjemmesko,vinterstøvler,sandaler
helium,brint,kalium,slik
post,pakke,brev,dyne
trappe,stige,rampe,hjul
kalv,lam,føl,hund
København,Roskilde,Slagelse,Odense
Spise,æde,drikke,synge
rolig,afslappet,sove,Aggresiv
Tog,bus,Fly,Bænk
Zoo,Tivoli,Badeland,Gynge
24-Dec,05-maj,05-Jun,28-Sep
Høj,lang,bred,rulle
Længe,evighed,tid,penge
kroner,euro,dollars,fjer
panda,løve,elefant,fugl
Danmark,Norge,Sverige,Kina
lufthavn,Banegård,Busstation,Kælder
Kælder,Stue,Køkken,Kirsebær
Juleaften,nytårsaften,skærstorsdag,Grundlovsdag
Hånd,arm,ben,kat
Jern,stål,metal,skrue
Bøg,eg,Elg,have
Seng,lampe,dyne,pind
gryde,pande,kande,spejl
hus,lejlighed,sommerhus,antal
mængde,antal,sum,kuvert
brev,pakke,postkasse,ung
ung,gammel,barn,brun
brun,grøn,rød,blomst
Kræft,KOL,forkølelse,hjerne
taske,pose,kurv,cykel
bil,cykel,løbehjul,bade
sol,sandkorn,badetøj,grøn
bukser,trøje,hue,kælk
Blyant,tusch,viskelæder,båd
sejl,trapetz,skøde,bjerg
butterfly,crawl,bryst,løbe
synge,kor,solosang,bål
Salsa,Latin,Mambo,gang
Skole,børnhave,gymnasium,hjælpe
7,10,12,5
Rom,Berlin,Budapest,Hamborg
Word,excel,Visio,avis
EM,VM,OL,Golf
Netflix,Viaplay,TV2play,Radio
Anders and,Fedtmule,Pluto,Mand
Sæbe,sulfo,vaskemiddel,penge
Kartofler,Porre,Agurk,Mus
cykel,bil,båd,ske
kort,GPS,vejviser,skilt
å,flod,sø,græs
hammer,skruemaskine,svensknøgle,grydeske
han,hun,man,hule
fortid,nutid,fremtid,hjælpe
LP,CD,kasettebånd,tv
Volvo,Audi,BMW,Garmin
glad,sur,trist,sagde
risiko,chance,trussel,yde
pizza,burger,sushi,gren
slik,kage,chips,gulerod
ipad,iphone,ipod,computer
nær,tæt på,klos,afstand
Avis,blad,magasin,højtaler
kærlighed,omsorg,sød,had
Mette,Pia,Dorte,Peter
Peter,Preben,Torben,Jette
serviet,køkkenrulle,toiletpapir,svamp
guld,sølv,bronze,lys
cykel,hjelm,pedaler,kasket
benzin,diesel,olie,is
skærm,mus,tastatur,sandal
mascare,øjenskygge,puder,kæde
bukser,skjorte,jakke,løbe
handsker,hue,halsterklæde,Barn
vand,glas,kande,Købe
rør,radiator,termostat,Bord
gin,tonic,lime,Frugt
rose,tulipan,magnolie,eg
budget,lån,penge,uro
lykke,glæde,glad,jul
påske,jul,ferie,ikea
ikea,jysk,ilva,føtex
føtex,bilka,rema,lagkagehuset
forår,sommer,efterår,mandag
Optimere,forbedre,udbygge,forhandle
weekend,helligdag,fridag,uvejr
DTU,ITU,KU,DSU
Middelfart,Bogense,Kerteminde,Roskilde
Århus,Herning,Aalborg,Odense
tegne,male,skitse,klatre
strikke,hækle,sy,feje
feje,skovle,rive,råbe
råbe,skrige,sige,glide
flot,lækker,smuk,blød
bolle,flute,fransbrød,sko
sandal,stilet,støvle,jakke
halskæde,armbånd,ur,badevinger
gås,and,due,bjørn
stol,sofa,bord,hår
læge,frisør,tømre,handle
sidde,lægge,stå,løbe
Hoppe,løbe,springe,ski
punktum,komma,udråbstegn,abe
gin,vodka,øl,sodavand
billede,foto,maleri,æde
